"dur","start_time","mouse_trace_x","mouse_trace_y","interruptedResponse","pixperrefresh","refreshRate","angle","side","start_position","splitTime","fixTime","speed","subjectID","test_part","trialID","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"2001.8000000715256","95513.29999995232","[434,434,438,447,458,469,481,495,517,523,552,569,584,598,611,627,642,659,676,699,717,732,747,758,769,778,787,796,804,820,831,843,859,877,897,917,937,957,975,989,1005,1018,1034,1053,1079,1091,1097,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1112]","[462,462,462,462,462,462,462,462,462,462,468,472,476,480,482,484,485,486,487,487,487,486,485,485,485,485,484,483,482,480,477,473,469,464,459,456,453,450,448,447,447,447,450,455,461,466,472,475,475,475,475,475,475,475,475,475,475,470]","false","13.167000000000002","33","90","l","-300","983.507598524244","0","399","AB","trial","18","manual-tracking","34","97539","0.0-0.0-0.17","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","35","99041","0.0-0.0-1.17","null","<p>Well done.</p>","null"
"2001.1000000238419","100846.5","[435,435,438,443,452,458,465,475,487,502,522,545,570,608,622,634,646,655,665,676,690,705,727,747,766,781,795,803,807,811,819,836,852,868,884,902,920,941,970,1024,1039,1042,1042,1042,1042,1042,1042,1042,1042,1042,1053,1078,1102,1142,1177,1208,1250,1279,1296]","[470,470,470,470,470,470,470,470,470,472,474,474,474,473,473,473,473,475,476,477,477,478,479,479,479,479,479,479,479,479,479,479,479,479,479,478,477,477,477,477,477,478,478,478,478,478,478,478,478,478,475,470,466,462,462,462,462,462,462]","false","13.167000000000002","33","315","l","-300","913.6678957175503","0","399","AB","trial","71","manual-tracking","36","102871","0.0-0.0-0.18","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","37","104374","0.0-0.0-1.18","null","<p>Well done.</p>","null"
"2001.1000000238419","106746.60000002384","[1041,1039,1034,1027,1021,1016,1011,1006,992,978,962,946,929,915,898,877,845,821,803,788,775,763,750,739,727,715,699,685,670,655,639,621,604,588,574,559,549,538,528,518,504,494,485,476,465,453,443,433,422,405,381,343,290,245,231,230,230,230,230]","[465,465,465,465,465,465,465,465,464,464,464,464,464,464,464,463,463,463,462,462,461,460,459,459,458,458,457,457,456,456,456,456,456,456,456,454,453,452,452,451,451,451,451,451,451,451,452,452,452,451,451,453,464,473,478,479,479,479,479]","false","13.167000000000002","33","45","r","300","815.0099662001361","0","399","AB","trial","57","manual-tracking","38","108771","0.0-0.0-0.19","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","39","110277","0.0-0.0-1.19","null","<p>Well done.</p>","null"
"2001","111046.5","[438,438,438,438,438,438,438,438,438,438,454,483,527,561,593,623,640,656,670,683,695,711,725,742,763,794,817,839,860,879,897,915,936,951,965,980,996,1011,1026,1040,1052,1063,1077,1085,1091,1098,1106,1114,1121,1134,1156,1175,1193,1211,1230,1258,1289,1306,1313]","[461,461,461,461,461,461,461,461,461,461,460,455,451,451,451,452,454,455,456,457,459,461,463,465,468,472,475,477,478,478,479,479,479,479,478,477,476,476,476,476,476,476,475,475,475,476,476,476,476,475,470,468,468,468,471,474,476,476,474]","false","13.167000000000002","33","225","l","-300","949.8962595189357","0","399","AB","trial","69","manual-tracking","40","113071","0.0-0.0-0.20","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","41","114573","0.0-0.0-1.20","null","<p>Well done.</p>","null"
"2001.5","116130.29999995232","[1044,1044,1042,1040,1035,1026,1009,991,968,947,936,931,930,927,923,915,904,863,831,805,784,771,758,749,740,732,723,712,698,681,662,643,625,601,580,558,533,526,504,489,477,463,449,439,433,418,405,394,383,374,368,362,354,346,333,318,303,288,277]","[471,471,471,471,471,471,471,471,468,465,462,461,461,461,460,460,460,460,461,462,463,463,463,463,463,463,464,464,464,466,467,468,468,468,467,466,463,462,462,462,462,462,462,462,462,463,464,464,464,465,465,465,465,465,467,468,469,469,470]","false","13.167000000000002","33","0","r","300","951.3195347952874","0","399","AB","trial","56","manual-tracking","42","118155","0.0-0.0-0.21","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","43","119657","0.0-0.0-1.21","null","<p>Well done.</p>","null"
"2001.5","120863.20000004768","[436,436,436,439,445,455,471,490,513,536,559,586,612,628,641,656,669,681,693,708,720,735,752,771,791,811,827,845,856,867,880,894,911,926,942,958,980,999,1017,1033,1050,1063,1074,1083,1090,1090,1090,1090,1090,1090,1090,1090,1090,1109,1146,1204,1265,1313]","[473,473,473,473,473,473,473,473,473,473,473,473,473,474,474,474,474,474,474,474,474,473,473,475,479,483,483,483,479,476,475,474,474,475,477,477,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,474,470,467,467,468]","false","13.167000000000002","33","315","l","-300","1111.010400921727","0","399","AB","trial","23","manual-tracking","44","122888","0.0-0.0-0.22","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","45","124391","0.0-0.0-1.22","null","<p>Well done.</p>","null"
"2000.8000000715256","126098.79999995232","[439,439,440,444,453,468,484,498,514,526,545,563,586,607,622,633,640,647,652,658,667,676,689,701,714,731,745,758,774,800,819,837,849,860,868,876,884,893,905,917,931,946,960,978,993,1010,1027,1036,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043]","[475,475,475,475,475,475,475,475,475,472,470,470,469,468,467,466,466,466,466,466,466,466,466,465,465,465,465,466,468,470,471,471,471,471,471,470,470,469,468,467,467,467,467,467,467,467,468,471,474,476,476,476,476,476,476,476,476,476,476]","false","13.167000000000002","33","270","l","-300","1170.89796038443","0","399","AB","trial","38","manual-tracking","46","128123","0.0-0.0-0.23","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","47","129625","0.0-0.0-1.23","null","<p>Well done.</p>","null"
"2001.7000000476837","131197","[1040,1039,1033,1025,1014,997,980,965,944,928,910,892,873,859,844,823,811,796,782,768,752,737,722,708,695,681,666,653,639,625,609,594,578,563,548,529,507,491,475,459,442,426,408,385,363,351,347,345,345,345,345,345,345,345,345,345,345,345]","[468,468,468,468,468,468,468,468,468,468,470,472,474,475,476,477,477,477,478,478,479,479,479,478,475,474,471,470,469,469,469,469,469,470,471,471,471,471,471,471,471,471,471,473,475,477,479,482,482,482,482,482,482,482,482,482,482,482]","false","13.167000000000002","33","315","r","300","1195.689439649692","0","399","AB","trial","79","manual-tracking","48","133222","0.0-0.0-0.24","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","49","134723","0.0-0.0-1.24","null","<p>Well done.</p>","null"
"2000.8999999761581","136430.20000004768","[1036,1035,1029,1018,1002,985,965,948,934,917,901,888,873,863,849,831,817,800,783,762,750,743,726,714,700,690,680,667,655,641,624,606,587,565,548,536,524,516,508,501,493,484,467,455,440,421,403,390,382,379,377,377,377,377,377,377,377,377,377]","[466,466,466,466,466,468,469,469,469,467,465,465,465,465,465,465,465,465,466,466,466,466,466,466,466,466,466,466,466,467,469,470,472,475,477,478,480,481,481,481,481,481,482,483,484,484,484,484,482,479,475,472,470,470,470,470,470,470,470]","false","13.167000000000002","33","135","r","300","1026.0133056797317","0","399","AB","trial","59","manual-tracking","50","138454","0.0-0.0-0.25","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","51","139957","0.0-0.0-1.25","null","<p>Well done.</p>","null"
"2001.1000000238419","141098.39999997616","[436,436,437,441,449,459,474,492,522,541,558,580,595,610,620,630,640,649,658,669,681,699,712,725,739,752,764,779,799,820,833,843,852,860,870,883,897,917,948,973,993,1014,1036,1073,1083,1108,1125,1147,1165,1181,1194,1202,1208,1210,1211,1211,1211,1211,1211]","[469,469,469,469,469,469,469,469,469,469,470,471,471,471,471,471,471,471,471,470,470,470,470,470,471,473,476,478,479,479,479,480,482,483,485,485,484,479,471,467,465,465,465,467,467,467,467,467,467,466,466,466,466,465,464,464,464,464,464]","false","13.167000000000002","33","45","l","-300","915.2383600160439","0","399","AB","trial","65","manual-tracking","52","143122","0.0-0.0-0.26","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","53","144624","0.0-0.0-1.26","null","<p>Well done.</p>","null"
"2001.7999999523163","145947.70000004768","[1040,1040,1040,1039,1031,1020,1007,983,963,943,926,911,899,887,873,860,845,830,811,792,769,753,738,724,709,699,682,671,661,647,635,620,606,594,577,561,543,523,498,480,465,452,437,426,413,399,387,369,354,338,322,304,285,277,273,270,270,270,270]","[464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,465,466,467,468,468,468,468,468,468,466,465,465,464,463,462,461,460,460,460,460,461,464,466,468,469,471,473,473,474,475,475,475,475,475,475,475,475,474,474,474,474,474]","false","13.167000000000002","33","45","r","300","806.5563314126141","0","399","AB","trial","41","manual-tracking","54","147972","0.0-0.0-0.27","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","55","149475","0.0-0.0-1.27","null","<p>Well done.</p>","null"
"2001.2999999523163","151014.20000004768","[1040,1040,1039,1034,1023,1011,999,984,963,939,902,879,856,842,826,812,800,783,768,750,736,720,706,692,675,662,649,634,621,606,589,573,558,543,529,516,505,491,467,452,441,425,411,398,385,370,357,346,340,338,338,338,338,338,338,338,338,338,338]","[465,465,465,465,465,465,465,465,465,465,466,467,469,469,469,469,469,469,469,470,471,471,471,471,471,471,471,471,471,471,471,472,474,475,476,476,476,476,477,477,478,479,481,482,483,484,485,485,485,484,482,482,482,482,482,482,482,482,482]","false","13.167000000000002","33","90","r","300","860.6867780366547","0","399","AB","trial","10","manual-tracking","56","153038","0.0-0.0-0.28","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","57","154540","0.0-0.0-1.28","null","<p>Well done.</p>","null"
"2003.1000000238419","156014.5","[442,442,442,442,442,442,447,463,487,515,543,568,593,614,633,646,662,673,682,691,700,711,723,739,756,780,798,820,833,845,855,867,877,888,906,919,934,951,966,982,997,1013,1030,1054,1075,1098,1116,1130,1146,1153,1161,1177,1206,1232,1250,1255,1256,1256,1256]","[466,466,466,466,466,466,466,466,466,466,466,466,468,470,471,471,471,471,471,469,469,468,467,466,465,463,462,460,459,459,459,459,459,459,460,461,462,464,466,468,469,470,471,471,471,469,469,469,469,469,469,470,472,473,473,473,473,473,473]","false","13.167000000000002","33","180","l","-300","991.9978857378132","0","399","AB","trial","4","manual-tracking","58","158040","0.0-0.0-0.29","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","59","159547","0.0-0.0-1.29","null","<p>Well done.</p>","null"
"2001.3000000715256","161231.89999997616","[440,440,445,458,476,487,498,507,516,527,542,556,570,583,600,613,626,644,649,666,678,688,702,715,727,739,754,767,779,792,805,822,836,852,870,889,909,933,960,1005,1026,1038,1049,1061,1072,1085,1099,1115,1134,1148,1163,1180,1200,1213,1218,1218,1218,1218,1218]","[473,473,473,473,473,473,473,473,473,473,473,471,470,470,470,470,469,467,467,467,467,468,469,470,470,470,471,471,472,472,472,472,470,469,468,468,467,466,466,465,463,462,461,460,460,460,460,460,460,460,461,463,464,464,463,463,463,463,463]","false","13.167000000000002","33","135","l","-300","922.0678423053083","0","399","AB","trial","3","manual-tracking","60","163256","0.0-0.0-0.30","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","61","164758","0.0-0.0-1.30","null","<p>Well done.</p>","null"
"2001.4000000953674","166381.29999995232","[432,432,433,440,446,458,470,488,510,534,560,595,614,631,640,649,658,666,678,688,702,718,742,763,785,805,825,847,873,892,908,922,930,937,943,954,966,978,992,1007,1030,1054,1082,1109,1121,1155,1170,1180,1183,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184]","[455,455,455,455,455,455,455,455,456,458,459,461,461,462,463,464,466,467,469,471,472,473,473,473,473,473,473,473,473,473,472,472,472,472,472,472,472,474,479,483,484,483,482,482,484,488,488,487,486,485,485,485,485,485,485,485,485,485,485]","false","13.167000000000002","33","45","l","-300","1136.2832986536625","0","399","AB","trial","49","manual-tracking","62","168405","0.0-0.0-0.31","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","63","169908","0.0-0.0-1.31","null","<p>Well done.</p>","null"
"2001.1999999284744","171148.10000002384","[1045,1045,1036,1025,1012,996,972,951,927,904,882,865,843,832,818,808,798,785,771,756,738,722,705,690,675,664,655,648,640,629,614,586,556,516,489,465,426,400,376,355,339,323,303,294,294,294,294,294,294,294,294,294,294,285,265,249,219,183,164]","[466,466,466,466,466,466,466,466,466,466,466,465,464,463,463,463,463,463,463,465,467,469,471,472,473,473,473,473,473,473,472,472,472,477,479,482,483,484,484,484,484,486,492,496,496,496,496,496,496,496,496,496,496,494,492,488,483,480,480]","false","13.167000000000002","33","270","r","300","906.4330252308242","0","399","AB","trial","62","manual-tracking","64","173172","0.0-0.0-0.32","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","65","174673","0.0-0.0-1.32","null","<p>Well done.</p>","null"
"2000.6999999284744","176465.20000004768","[1046,1044,1040,1033,1025,1013,999,983,969,949,931,913,897,884,873,864,852,840,826,808,786,765,741,717,692,673,659,644,634,624,614,605,596,587,576,561,545,530,515,499,479,454,423,388,350,287,242,232,232,232,232,232,232,232,232,232,232,232,232]","[466,466,466,466,466,466,466,468,469,469,469,468,468,468,468,468,468,468,469,470,472,472,472,473,474,476,478,480,482,484,485,486,486,486,486,484,481,479,477,474,470,465,459,454,448,448,463,472,472,472,472,472,472,472,472,472,472,472,472]","false","13.167000000000002","33","45","r","300","1029.7249356300067","0","399","AB","trial","73","manual-tracking","66","178488","0.0-0.0-0.33","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","67","179992","0.0-0.0-1.33","null","<p>Well done.</p>","null"
